2018-09-05 15:44:16,469 [Worker-17: Updating Maven Project] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /P1-Charles-Crandall/src/main/java
2018-09-05 15:44:16,470 [Worker-17: Updating Maven Project] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /P1-Charles-Crandall/src/main/resources
2018-09-05 15:44:16,471 [Worker-17: Updating Maven Project] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /P1-Charles-Crandall/src/test/java
2018-09-05 15:44:16,471 [Worker-17: Updating Maven Project] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /P1-Charles-Crandall/src/test/resources
2018-09-05 15:44:16,907 [Worker-17: Updating Maven Project] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for P1-Charles-Crandall
2018-09-05 15:44:16,913 [Worker-17: Updating Maven Project] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 1 sec
2018-09-05 15:44:17,476 [Worker-20: Building Project P1-Charles-Crandall] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.oracle:ojdbc7:jar:12.1.0 is missing, no dependency information available
2018-09-05 15:44:17,528 [Worker-20: Building Project P1-Charles-Crandall] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-05 15:44:17,531 [Worker-20: Building Project P1-Charles-Crandall] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-09-05 15:44:17,544 [Worker-20: Building Project P1-Charles-Crandall] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-05 15:44:17,547 [Worker-20: Building Project P1-Charles-Crandall] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-09-05 15:44:17,548 [Worker-20: Building Project P1-Charles-Crandall] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of P1-Charles-Crandall
2018-09-05 15:44:17,548 [Worker-20: Building Project P1-Charles-Crandall] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for P1-Charles-Crandall
2018-09-05 15:44:17,553 [Worker-20: Building Project P1-Charles-Crandall] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-05 17:23:52,560 [Worker-15: Updating Maven Dependencies] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.revature:P1-Charles-Crandall:0.0.1-SNAPSHOT @ D:\Revature\Project1\P1-Charles-Crandall\pom.xml.
2018-09-05 17:23:52,706 [Worker-15: Updating Maven Dependencies] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.oracle:ojdbc7:jar:12.1.0 is missing, no dependency information available
2018-09-05 17:23:55,828 [Worker-15: Updating Maven Dependencies] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.oracle:ojdbc7:jar:12.1.0 is missing, no dependency information available
